"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Carson City,"59,320","59,966","63,498",6,1.1,5.9,5
,,,,,,,
New Hampshire,"73,682","74,827","78,944",--,1.6,5.5,--
Belknap,"71,287","75,351","79,465",3,5.7,5.5,6
Carroll,"70,081","73,538","78,581",4,4.9,6.9,2
Cheshire,"65,257","63,605","67,094",8,-2.5,5.5,5
Coos,"52,854","52,958","55,665",10,0.2,5.1,8
Grafton,"74,348","74,449","79,934",2,0.1,7.4,1
Hillsborough,"74,634","72,592","76,187",5,-2.7,5.0,9
Merrimack,"66,922","69,730","73,531",6,4.2,5.5,7
Rockingham,"87,488","91,842","97,082",1,5.0,5.7,4
Strafford,"60,503","62,842","65,643",9,3.9,4.5,10
Sullivan,"63,658","64,127","68,216",7,0.7,6.4,3
,,,,,,,
New Jersey,"76,052","77,744","82,103",--,2.2,5.6,--
Atlantic,"57,601","57,267","60,493",18,-0.6,5.6,9
Bergen,"94,342","96,434","102,229",4,2.2,6.0,6
Burlington,"69,624","70,908","74,684",13,1.8,5.3,14
Camden,"61,158","61,989","64,987",16,1.4,4.8,17
Cape May,"73,283","73,240","78,963",10,-0.1,7.8,1
Cumberland,"48,387","47,815","49,367",21,-1.2,3.2,21
Essex,"74,714","76,488","80,460",8,2.4,5.2,15
Gloucester,"62,383","62,581","66,061",15,0.3,5.6,11
Hudson,"73,192","76,360","79,982",9,4.3,4.7,18
Hunterdon,"98,071","99,652","105,801",3,1.6,6.2,5
Mercer,"77,551","80,101","84,392",6,3.3,5.4,13
Middlesex,"69,935","71,364","75,352",12,2.0,5.6,10
Monmouth,"90,876","94,540","100,477",5,4.0,6.3,3
Morris,"107,135","109,057","115,850",2,1.8,6.2,4
Ocean,"59,407","58,742","62,195",17,-1.1,5.9,7
Passaic,"58,270","57,511","60,002",19,-1.3,4.3,19
Salem,"55,390","54,962","57,119",20,-0.8,3.9,20
Somerset,"106,946","113,325","121,076",1,6.0,6.8,2
Sussex,"70,228","71,343","75,364",11,1.6,5.6,8
Union,"75,432","78,440","82,502",7,4.0,5.2,16
Warren,"62,006","63,016","66,483",14,1.6,5.5,12
,,,,,,,
New Mexico,"50,691","53,079","55,343",--,4.7,4.3,--
Bernalillo,"53,839","56,251","58,895",5,4.5,4.7,9
Catron,"39,011","41,770","41,950",29,7.1,0.4,27
Chaves,"46,362","52,730","52,720",13,13.7,0.0,28
Cibola,"34,108","34,933","35,144",33,2.4,0.6,26
Colfax,"48,650","49,692","51,567",14,2.1,3.8,15
Curry,"51,272","56,681","56,323",9,10.5,-0.6,29
De Baca,"56,093","59,243","62,571",4,5.6,5.6,6
Doña Ana,"45,696","46,226","47,712",19,1.2,3.2,19
Eddy,"66,157","71,909","76,555",3,8.7,6.5,3
Grant,"48,333","51,282","52,958",12,6.1,3.3,18
Guadalupe,"44,830","44,208","45,873",25,-1.4,3.8,16
Harding,"45,594","50,868","48,556",18,11.6,-4.5,32
Hidalgo,"50,805","53,917","56,047",10,6.1,4.0,13
Lea,"47,584","54,772","58,422",6,15.1,6.7,1
Lincoln,"48,792","51,245","54,474",11,5.0,6.3,4
Los Alamos,"81,289","86,905","91,773",1,6.9,5.6,7
Luna,"39,011","38,396","40,299",31,-1.6,5.0,8
McKinley,"35,240","35,415","36,133",32,0.5,2.0,24
Mora,"51,299","54,547","56,989",7,6.3,4.5,11
Otero,"41,855","42,490","43,353",28,1.5,2.0,23
Quay,"44,429","48,583","47,250",21,9.3,-2.7,30
Rio Arriba,"42,679","44,598","45,521",26,4.5,2.1,22
Roosevelt,"46,855","52,777","51,180",15,12.6,-3.0,31
Sandoval,"51,436","53,517","56,559",8,4.0,5.7,5
San Juan,"42,947","44,161","46,055",24,2.8,4.3,12
San Miguel,"44,323","45,769","46,983",22,3.3,2.7,21
Santa Fe,"70,477","72,932","77,717",2,3.5,6.6,2
Sierra,"48,628","49,419","49,743",16,1.6,0.7,25
Socorro,"42,568","43,956","45,149",27,3.3,2.7,20
Taos,"45,820","47,257","49,430",17,3.1,4.6,10
Torrance,"42,518","45,548","47,308",20,7.1,3.9,14
Union,"41,890","44,513","40,654",30,6.3,-8.7,33
Valencia,"43,347","45,318","46,944",23,4.5,3.6,17
,,,,,,,
New York,"76,016","77,502","82,323",--,2.0,6.2,--
Albany,"73,378","73,747","78,464",7,0.5,6.4,5
Allegany,"42,299","40,738","42,832",62,-3.7,5.1,32
Bronx,"44,244","42,868","44,736",61,-3.1,4.4,46
Broome,"50,085","49,185","52,147",46,-1.8,6.0,16
Cattaraugus,"46,505","46,131","48,342",59,-0.8,4.8,42
Cayuga,"52,361","52,085","53,644",40,-0.5,3.0,57
Chautauqua,"47,702","47,471","49,640",56,-0.5,4.6,43
Chemung,"51,914","52,228","53,850",38,0.6,3.1,56
Chenango,"50,591","51,381","54,527",36,1.6,6.1,13
Clinton,"51,644","52,324","55,008",33,1.3,5.1,33
Columbia,"68,069","70,258","74,642",8,3.2,6.2,10
Cortland,"48,524","49,104","50,994",51,1.2,3.8,51
Delaware,"47,197","47,015","50,348",54,-0.4,7.1,3
Dutchess,"66,688","67,456","71,391",9,1.2,5.8,20
Erie,"57,898","58,469","62,207",18,1.0,6.4,6
Essex,"54,905","54,906","58,326",26,0.0,6.2,11
Franklin,"49,230","50,094","53,153",42,1.8,6.1,15
Fulton,"50,944","51,207","53,781",39,0.5,5.0,37
Genesee,"50,390","51,259","53,104",44,1.7,3.6,53
Greene,"57,024","58,017","61,918",19,1.7,6.7,4
Hamilton,"55,662","54,827","59,276",24,-1.5,8.1,1
Herkimer,"51,246","49,611","52,027",48,-3.2,4.9,41
Jefferson,"52,862","53,146","54,926",34,0.5,3.3,55
Kings,"62,055","63,773","67,081",11,2.8,5.2,31
Lewis,"54,056","55,481","56,060",32,2.6,1.0,61
Livingston,"50,391","50,850","53,117",43,0.9,4.5,45
Madison,"55,801","56,257","58,687",25,0.8,4.3,48
Monroe,"59,717","60,262","63,593",17,0.9,5.5,25
Montgomery,"48,135","48,706","50,879",52,1.2,4.5,44
Nassau,"96,832","98,634","104,873",3,1.9,6.3,7
New York,"194,952","199,467","214,991",1,2.3,7.8,2
Niagara,"52,157","53,148","56,135",30,1.9,5.6,24
Oneida,"52,669","52,990","56,075",31,0.6,5.8,21
Onondaga,"60,892","60,833","63,854",16,-0.1,5.0,40
Ontario,"61,620","61,617","64,723",15,0.0,5.0,36
Orange,"57,682","57,443","60,539",21,-0.4,5.4,27
Orleans,"47,005","46,755","48,729",58,-0.5,4.2,49
Oswego,"48,072","47,486","49,548",57,-1.2,4.3,47
Otsego,"50,957","50,404","53,098",45,-1.1,5.3,28
Putnam,"77,751","79,661","84,598",5,2.5,6.2,12
Queens,"56,277","57,354","60,271",22,1.9,5.1,35
Rensselaer,"56,252","57,828","60,836",20,2.8,5.2,30
Richmond,"62,906","63,035","66,807",12,0.2,6.0,17
Rockland,"67,805","67,324","71,330",10,-0.7,6.0,18
St. Lawrence,"45,637","45,662","47,495",60,0.1,4.0,50
Saratoga,"73,988","76,340","81,008",6,3.2,6.1,14
Schenectady,"57,546","56,958","60,259",23,-1.0,5.8,22
Schoharie,"50,301","50,590","53,174",41,0.6,5.1,34
Schuyler,"49,869","50,240","52,126",47,0.7,3.8,52
Seneca,"47,723","48,687","50,044",55,2.0,2.8,58
Steuben,"54,372","54,991","56,349",29,1.1,2.5,59
Suffolk,"81,931","83,571","88,816",4,2.0,6.3,8
Sullivan,"53,925","55,065","57,831",27,2.1,5.0,38
Tioga,"52,074","52,058","54,765",35,0.0,5.2,29
Tompkins,"50,211","51,589","54,159",37,2.7,5.0,39
Ulster,"61,076","62,723","66,314",14,2.7,5.7,23
Warren,"61,071","62,671","66,384",13,2.6,5.9,19
Washington,"48,447","48,405","51,044",50,-0.1,5.5,26
Wayne,"54,583","55,162","57,109",28,1.1,3.5,54
Westchester,"119,431","123,147","130,834",2,3.1,6.2,9
Wyoming,"50,462","50,903","50,759",53,0.9,-0.3,62
Yates,"49,593","50,689","51,837",49,2.2,2.3,60
,,,,,,,
North Carolina,"57,008","58,953","61,839",--,3.4,4.9,--
Alamance,"48,449","49,338","51,405",47,1.8,4.2,61
Alexander,"46,187","48,883","49,694",57,5.8,1.7,92
Alleghany,"45,359","44,408","46,732",83,-2.1,5.2,38
Anson,"48,382","51,718","51,004",49,6.9,-1.4,97
Ashe,"44,235","45,135","48,453",69,2.0,7.4,4
Avery,"44,731","47,081","50,256",54,5.3,6.7,11
Beaufort,"55,108","54,654","57,387",26,-0.8,5.0,44
Bertie,"48,782","49,868","49,592",61,2.2,-0.6,96
Bladen,"48,214","49,872","50,481",52,3.4,1.2,93
Brunswick,"57,682","58,544","62,104",16,1.5,6.1,23
Buncombe,"59,007","61,970","66,288",11,5.0,7.0,9
Burke,"44,608","45,654","47,560",74,2.3,4.2,64
Cabarrus,"53,184","55,039","57,694",24,3.5,4.8,49
Caldwell,"44,280","45,684","47,398",76,3.2,3.8,73
Camden,"55,922","55,812","60,407",19,-0.2,8.2,3
Carteret,"62,248","64,180","68,500",7,3.1,6.7,12
Caswell,"41,895","41,737","43,437",95,-0.4,4.1,67
Catawba,"53,990","55,157","57,624",25,2.2,4.5,57
Chatham,"77,245","81,480","85,995",1,5.5,5.5,29
Cherokee,"39,715","40,143","41,999",98,1.1,4.6,52
Chowan,"51,050","50,911","54,599",31,-0.3,7.2,6
Clay,"43,734","44,822","47,138",79,2.5,5.2,40
Cleveland,"44,736","45,858","47,778",73,2.5,4.2,63
Columbus,"44,350","44,453","45,922",88,0.2,3.3,81
Craven,"54,078","54,757","58,120",23,1.3,6.1,22
Cumberland,"45,986","46,490","48,345",70,1.1,4.0,70
Currituck,"57,524","58,219","63,750",14,1.2,9.5,1
Dare,"72,478","73,954","79,309",5,2.0,7.2,7
Davidson,"48,155","49,499","51,406",46,2.8,3.9,72
Davie,"59,130","60,577","63,324",15,2.4,4.5,54
Duplin,"51,663","55,920","53,711",33,8.2,-4.0,100
Durham,"58,161","61,013","64,059",13,4.9,5.0,45
Edgecombe,"44,388","45,028","47,194",78,1.4,4.8,50
Forsyth,"56,581","57,884","60,481",18,2.3,4.5,56
Franklin,"46,124","47,038","49,691",58,2.0,5.6,27
Gaston,"48,995","50,059","52,373",44,2.2,4.6,53
Gates,"49,613","51,039","52,872",40,2.9,3.6,77
Graham,"42,914","41,437","44,387",91,-3.4,7.1,8
Granville,"46,820","47,890","49,896",55,2.3,4.2,62
Greene,"39,339","40,014","40,266",99,1.7,0.6,95
Guilford,"54,451","56,680","59,170",22,4.1,4.4,58
Halifax,"44,635","45,221","46,895",82,1.3,3.7,75
Harnett,"44,304","45,691","47,518",75,3.1,4.0,69
Haywood,"49,522","50,797","53,755",32,2.6,5.8,26
Henderson,"53,644","55,447","59,258",21,3.4,6.9,10
Hertford,"44,841","44,447","46,092",87,-0.9,3.7,74
Hoke,"41,707","41,789","43,213",96,0.2,3.4,79
Hyde,"50,506","49,008","52,292",45,-3.0,6.7,13
Iredell,"61,841","63,480","66,843",10,2.7,5.3,36
Jackson,"44,064","44,768","46,605",85,1.6,4.1,66
Johnston,"48,626","50,123","52,757",42,3.1,5.3,37
Jones,"49,727","50,726","49,621",60,2.0,-2.2,98
Lee,"49,689","50,771","53,310",38,2.2,5.0,43
Lenoir,"49,934","52,017","53,456",35,4.2,2.8,84
Lincoln,"56,291","58,351","61,859",17,3.7,6.0,25
McDowell,"43,835","45,094","47,124",80,2.9,4.5,55
Macon,"48,104","49,554","52,844",41,3.0,6.6,14
Madison,"43,325","44,969","47,811",72,3.8,6.3,19
Martin,"43,195","42,690","44,368",92,-1.2,3.9,71
Mecklenburg,"74,704","78,431","82,500",2,5.0,5.2,39
Mitchell,"43,772","44,265","47,047",81,1.1,6.3,20
Montgomery,"45,830","47,077","48,050",71,2.7,2.1,90
Moore,"61,430","64,619","68,180",8,5.2,5.5,31
Nash,"50,167","50,899","53,389",36,1.5,4.9,47
New Hanover,"60,036","61,719","64,831",12,2.8,5.0,42
Northampton,"47,345","48,587","49,507",62,2.6,1.9,91
Onslow,"51,268","51,772","53,594",34,1.0,3.5,78
Orange,"75,780","77,427","82,487",3,2.2,6.5,16
Pamlico,"52,521","53,398","56,687",28,1.7,6.2,21
Pasquotank,"47,184","47,844","50,974",50,1.4,6.5,15
Pender,"49,575","51,270","53,382",37,3.4,4.1,65
Perquimans,"53,174","53,527","56,511",29,0.7,5.6,28
Person,"45,885","46,725","48,911",66,1.8,4.7,51
Pitt,"52,984","54,090","56,956",27,2.1,5.3,34
Polk,"58,935","62,448","67,589",9,6.0,8.2,2
Randolph,"46,224","47,418","48,970",65,2.6,3.3,82
Richmond,"45,127","46,235","47,384",77,2.5,2.5,88
Robeson,"41,678","42,544","43,550",94,2.1,2.4,89
Rockingham,"45,539","46,271","48,622",68,1.6,5.1,41
Rowan,"46,472","46,695","49,008",64,0.5,5.0,46
Rutherford,"42,177","42,656","44,091",93,1.1,3.4,80
Sampson,"46,111","48,389","46,676",84,4.9,-3.5,99
Scotland,"42,198","41,779","42,838",97,-1.0,2.5,87
Stanly,"47,770","48,450","50,394",53,1.4,4.0,68
Stokes,"46,605","47,087","49,687",59,1.0,5.5,30
Surry,"48,222","49,633","51,241",48,2.9,3.2,83
Swain,"50,591","52,757","55,328",30,4.3,4.9,48
Transylvania,"53,367","56,487","60,160",20,5.8,6.5,18
Tyrrell,"47,289","43,385","46,213",86,-8.3,6.5,17
Union,"64,609","69,515","72,553",6,7.6,4.4,59
Vance,"44,845","43,878","45,762",89,-2.2,4.3,60
Wake,"74,254","77,172","81,322",4,3.9,5.4,33
Warren,"38,833","37,630","39,006",100,-3.1,3.7,76
Washington,"46,971","45,983","48,759",67,-2.1,6.0,24
Watauga,"46,588","49,431","53,013",39,6.1,7.2,5
Wayne,"49,199","49,441","50,748",51,0.5,2.6,86
Wilkes,"45,937","49,022","49,350",63,6.7,0.7,94
Wilson,"48,905","49,979","52,627",43,2.2,5.3,35
Yadkin,"46,773","48,584","49,886",56,3.9,2.7,85
Yancey,"42,049","43,097","45,449",90,2.5,5.5,32
,,,,,,,
North Dakota,"65,974","71,238","72,041",--,8.0,1.1,--
Adams,"57,425","60,540","54,673",49,5.4,-9.7,39
Barnes,"66,724","74,498","74,136",26,11.7,-0.5,18
Benson,"57,798","67,142","60,006",45,16.2,-10.6,41
Billings,"87,420","81,992","89,603",9,-6.2,9.3,1
Bottineau,"71,633","89,085","82,191",18,24.4,-7.7,32
Bowman,"76,753","72,052","72,257",30,-6.1,0.3,17
Burke,"72,214","102,766","89,281",11,42.3,-13.1,42
Burleigh,"69,292","72,475","75,321",24,4.6,3.9,6
Cass,"67,315","70,054","73,185",27,4.1,4.5,5
Cavalier,"89,608","134,668","106,795",1,50.3,-20.7,50
Dickey,"77,372","98,283","99,866",4,27.0,1.6,14
Divide,"65,500","75,396","68,807",36,15.1,-8.7,33
Dunn,"89,674","102,734","103,731",2,14.6,1.0,15
Eddy,"74,644","89,966","83,562",15,20.5,-7.1,31
Emmons,"76,484","90,699","69,003",35,18.6,-23.9,51
Foster,"81,302","87,119","83,274",17,7.2,-4.4,24
Golden Valley,"63,111","54,794","49,510",51,-13.2,-9.6,38
Grand Forks,"58,795","61,342","63,280",44,4.3,3.2,11
Grant,"60,763","64,168","53,999",50,5.6,-15.8,46
Griggs,"78,805","94,469","86,194",12,19.9,-8.8,34
Hettinger,"60,419","68,332","55,263",48,13.1,-19.1,48
Kidder,"78,548","81,251","77,327",21,3.4,-4.8,26
LaMoure,"74,888","93,583","91,051",8,25.0,-2.7,23
Logan,"70,458","83,402","72,030",31,18.4,-13.6,44
McHenry,"74,833","77,590","75,774",22,3.7,-2.3,21
McIntosh,"82,417","85,598","74,321",25,3.9,-13.2,43
McKenzie,"69,165","80,199","84,357",13,16.0,5.2,3
McLean,"79,041","77,818","72,821",28,-1.5,-6.4,28
Mercer,"66,501","65,091","66,823",40,-2.1,2.7,12
Morton,"61,139","61,985","63,288",43,1.4,2.1,13
Mountrail,"75,049","84,238","80,515",19,12.2,-4.4,25
Nelson,"70,521","91,892","83,523",16,30.3,-9.1,35
Oliver,"64,784","61,270","55,494",47,-5.4,-9.4,36
Pembina,"82,999","89,439","83,598",14,7.8,-6.5,30
Pierce,"68,619","73,779","66,771",41,7.5,-9.5,37
Ramsey,"61,489","69,253","67,469",39,12.6,-2.6,22
Ransom,"66,304","76,315","78,909",20,15.1,3.4,10
Renville,"77,838","115,018","94,262",7,47.8,-18.0,47
Richland,"62,429","66,418","70,746",33,6.4,6.5,2
Rolette,"53,542","57,923","56,859",46,8.2,-1.8,19
Sargent,"81,539","92,516","96,135",6,13.5,3.9,7
Sheridan,"80,956","94,356","67,934",38,16.6,-28.0,53
Sioux,"37,931","40,216","37,765",53,6.0,-6.1,27
Slope,"61,757","63,588","47,105",52,3.0,-25.9,52
Stark,"63,161","68,511","71,645",32,8.5,4.6,4
Steele,"90,694","108,761","97,896",5,19.9,-10.0,40
Stutsman,"61,487","67,769","68,370",37,10.2,0.9,16
Towner,"76,202","126,992","101,180",3,66.7,-20.3,49
Traill,"67,028","74,288","72,754",29,10.8,-2.1,20
Walsh,"65,964","75,056","70,222",34,13.8,-6.4,29
Ward,"59,766","64,213","66,524",42,7.4,3.6,8
Wells,"82,757","105,635","89,429",10,27.6,-15.3,45
Williams,"63,209","72,824","75,412",23,15.2,3.6,9
,,,,,,,
Ohio,"57,340","58,391","61,495",--,1.8,5.3,--
Adams,"44,417","43,289","46,026",78,-2.5,6.3,14
Allen,"50,199","50,956","54,010",42,1.5,6.0,25
Ashland,"47,702","48,234","51,242",55,1.1,6.2,15
Ashtabula,"46,451","47,692","50,508",61,2.7,5.9,29
Athens,"42,586","41,207","42,018",87,-3.2,2.0,87
Auglaize,"55,680","56,903","60,383",20,2.2,6.1,20
Belmont,"46,432","48,305","51,534",51,4.0,6.7,7
Brown,"46,376","46,963","49,102",68,1.3,4.6,65
Butler,"55,305","55,773","58,192",27,0.8,4.3,71
Carroll,"47,751","48,377","50,809",58,1.3,5.0,59
Champaign,"49,464","49,295","51,945",50,-0.3,5.4,46
Clark,"47,583","48,079","50,553",60,1.0,5.1,53
Clermont,"62,127","60,505","63,599",15,-2.6,5.1,56
Clinton,"50,610","51,710","53,901",43,2.2,4.2,75
Columbiana,"45,491","45,358","47,871",75,-0.3,5.5,37
Coshocton,"43,032","42,480","44,741",83,-1.3,5.3,48
Crawford,"47,647","46,196","48,370",71,-3.0,4.7,64
Cuyahoga,"62,649","64,743","68,360",7,3.3,5.6,35
Darke,"52,601","52,754","56,920",33,0.3,7.9,3
Defiance,"48,163","48,211","50,168",63,0.1,4.1,82
Delaware,"85,412","88,101","93,124",1,3.1,5.7,33
Erie,"57,327","58,127","61,964",17,1.4,6.6,8
Fairfield,"54,874","55,754","58,194",26,1.6,4.4,69
Fayette,"47,962","47,714","49,752",65,-0.5,4.3,73
Franklin,"59,783","61,148","63,874",12,2.3,4.5,67
Fulton,"53,222","53,986","56,773",34,1.4,5.2,52
Gallia,"46,340","47,433","50,025",64,2.4,5.5,39
Geauga,"80,102","81,363","86,579",2,1.6,6.4,11
Greene,"59,848","60,765","64,628",10,1.5,6.4,13
Guernsey,"49,038","48,997","51,043",56,-0.1,4.2,79
Hamilton,"70,050","72,124","75,833",4,3.0,5.1,54
Hancock,"56,957","59,676","62,204",16,4.8,4.2,76
Hardin,"40,605","40,521","42,958",86,-0.2,6.0,24
Harrison,"46,119","46,777","50,642",59,1.4,8.3,2
Henry,"52,854","53,340","55,580",36,0.9,4.2,78
Highland,"44,693","44,727","46,608",77,0.1,4.2,77
Hocking,"45,847","46,133","48,115",74,0.6,4.3,72
Holmes,"54,643","57,229","60,632",18,4.7,5.9,27
Huron,"48,297","48,452","50,983",57,0.3,5.2,50
Jackson,"42,194","41,551","43,799",84,-1.5,5.4,43
Jefferson,"46,277","46,523","48,346",72,0.5,3.9,84
Knox,"51,789","52,465","55,379",37,1.3,5.6,36
Lake,"59,057","60,002","63,667",14,1.6,6.1,21
Lawrence,"47,217","48,423","51,367",53,2.6,6.1,23
Licking,"55,489","55,888","58,710",24,0.7,5.0,58
Logan,"49,058","49,418","51,515",52,0.7,4.2,74
Lorain,"54,866","56,092","59,141",23,2.2,5.4,41
Lucas,"53,557","54,372","57,012",31,1.5,4.9,63
Madison,"51,058","53,654","54,404",40,5.1,1.4,88
Mahoning,"51,548","51,805","54,630",39,0.5,5.5,40
Marion,"42,842","43,623","45,112",80,1.8,3.4,86
Medina,"64,212","66,713","70,562",6,3.9,5.8,30
Meigs,"43,109","42,418","44,864",82,-1.6,5.8,31
Mercer,"60,315","61,668","67,802",8,2.2,9.9,1
Miami,"55,880","56,741","60,457",19,1.5,6.5,9
Monroe,"43,528","42,773","44,894",81,-1.7,5.0,60
Montgomery,"54,837","55,269","58,304",25,0.8,5.5,38
Morgan,"43,791","43,282","45,751",79,-1.2,5.7,32
Morrow,"49,483","49,234","51,281",54,-0.5,4.2,80
Muskingum,"49,464","50,018","52,225",47,1.1,4.4,68
Noble,"32,537","31,558","33,492",88,-3.0,6.1,19
Ottawa,"61,961","62,901","66,465",9,1.5,5.7,34
Paulding,"49,560","51,024","54,129",41,3.0,6.1,22
Perry,"46,471","46,862","48,777",69,0.8,4.1,81
Pickaway,"51,070","50,582","52,884",45,-1.0,4.6,66
Pike,"46,171","46,256","48,745",70,0.2,5.4,44
Portage,"53,595","54,099","57,326",30,0.9,6.0,26
Preble,"49,199","49,618","52,241",46,0.9,5.3,49
Putnam,"59,256","59,941","63,830",13,1.2,6.5,10
Richland,"45,386","45,660","48,116",73,0.6,5.4,45
Ross,"45,483","45,237","46,934",76,-0.5,3.8,85
Sandusky,"49,354","49,522","52,046",49,0.3,5.1,57
Scioto,"46,139","46,568","49,423",66,0.9,6.1,18
Seneca,"48,486","48,334","50,248",62,-0.3,4.0,83
Shelby,"52,729","52,987","55,606",35,0.5,4.9,61
Stark,"53,251","54,142","56,961",32,1.7,5.2,51
Summit,"61,356","61,272","64,598",11,-0.1,5.4,42
Trumbull,"46,077","46,766","49,159",67,1.5,5.1,55
Tuscarawas,"50,875","54,411","57,335",29,7.0,5.4,47
Union,"66,885","69,362","73,664",5,3.7,6.2,16
Van Wert,"50,212","50,245","53,340",44,0.1,6.2,17
Vinton,"41,447","41,177","43,796",85,-0.7,6.4,12
Warren,"70,879","73,523","77,881",3,3.7,5.9,28
Washington,"51,416","51,493","55,168",38,0.1,7.1,5
Wayne,"53,416","54,071","58,161",28,1.2,7.6,4
Williams,"49,011","50,014","52,187",48,2.0,4.3,70
Wood,"55,558","57,080","59,887",21,2.7,4.9,62
Wyandot,"55,189","55,904","59,710",22,1.3,6.8,6
,,,,,,,
Oklahoma,"54,500","58,043","60,545",--,6.5,4.3,--
Adair,"40,661","42,294","42,679",70,4.0,0.9,73
Alfalfa,"43,699","44,782","48,610",41,2.5,8.5,7
Atoka,"36,041","35,463","37,738",77,-1.6,6.4,19
Beaver,"68,837","69,077","69,284",6,0.3,0.3,74
Beckham,"39,067","39,306","42,510",71,0.6,8.2,10
Blaine,"48,847","52,642","54,975",18,7.8,4.4,54
Bryan,"44,460","44,252","46,331",52,-0.5,4.7,49
Caddo,"45,128","45,032","47,172",47,-0.2,4.8,47
Canadian,"51,670","52,491","56,000",15,1.6,6.7,17
Carter,"48,896","51,033","53,086",24,4.4,4.0,61
Cherokee,"41,527","40,971","43,232",66,-1.3,5.5,39
Choctaw,"41,052","39,347","43,172",67,-4.2,9.7,6
Cimarron,"71,364","70,254","80,911",2,-1.6,15.2,2
Cleveland,"50,333","51,830","54,522",20,3.0,5.2,42
Coal,"43,835","43,528","46,976",49,-0.7,7.9,11
Comanche,"48,172","48,383","51,375",27,0.4,6.2,23
Cotton,"51,853","52,172","54,529",19,0.6,4.5,52
Craig,"43,226","45,000","47,115",48,4.1,4.7,48
Creek,"47,665","48,209","50,595",34,1.1,4.9,44
Custer,"46,265","47,562","49,244",38,2.8,3.5,65
Delaware,"41,500","44,338","46,212",53,6.8,4.2,59
Dewey,"48,306","52,184","60,783",11,8.0,16.5,1
Ellis,"58,081","61,682","63,914",8,6.2,3.6,64
Garfield,"48,039","49,362","51,152",30,2.8,3.6,63
Garvin,"49,751","47,988","50,882",32,-3.5,6.0,27
Grady,"47,337","48,128","50,790",33,1.7,5.5,38
Grant,"58,160","56,929","62,676",9,-2.1,10.1,4
Greer,"35,252","36,515","39,560",76,3.6,8.3,9
Harmon,"50,741","57,108","60,399",12,12.5,5.8,31
Harper,"60,345","62,012","66,533",7,2.8,7.3,13
Haskell,"42,833","44,500","46,167",54,3.9,3.7,62
Hughes,"48,815","46,260","46,378",51,-5.2,0.3,75
Jackson,"49,858","51,752","54,031",21,3.8,4.4,55
Jefferson,"40,248","43,106","44,947",61,7.1,4.3,58
Johnston,"44,601","45,620","50,204",35,2.3,10.0,5
Kay,"49,022","48,259","49,623",36,-1.6,2.8,70
Kingfisher,"66,963","71,339","73,533",4,6.5,3.1,67
Kiowa,"45,083","47,698","47,696",45,5.8,0.0,76
Latimer,"39,740","39,980","42,400",72,0.6,6.1,26
Le Flore,"40,105","41,819","43,023",68,4.3,2.9,68
Lincoln,"45,690","44,048","46,586",50,-3.6,5.8,30
Logan,"47,746","48,562","51,254",29,1.7,5.5,36
Love,"43,834","43,696","45,712",57,-0.3,4.6,50
McClain,"53,444","54,929","58,603",13,2.8,6.7,16
McCurtain,"43,277","44,587","46,108",55,3.0,3.4,66
McIntosh,"42,347","42,046","44,389",65,-0.7,5.6,34
Major,"47,521","47,856","51,281",28,0.7,7.2,15
Marshall,"44,084","45,830","48,734",40,4.0,6.3,21
Mayes,"44,901","45,122","47,773",44,0.5,5.9,28
Murray,"46,911","47,934","51,005",31,2.2,6.4,20
Muskogee,"44,411","45,366","47,792",43,2.2,5.3,41
Noble,"50,811","50,683","53,893",22,-0.3,6.3,22
Nowata,"44,851","45,266","49,125",39,0.9,8.5,8
Okfuskee,"38,087","37,742","40,201",75,-0.9,6.5,18
Oklahoma,"64,273","71,160","72,954",5,10.7,2.5,71
Okmulgee,"42,311","42,833","45,207",60,1.2,5.5,37
Osage,"43,473","43,227","45,299",58,-0.6,4.8,46
Ottawa,"46,744","46,011","47,987",42,-1.6,4.3,56
Pawnee,"43,368","43,759","45,758",56,0.9,4.6,51
Payne,"44,268","44,781","47,401",46,1.2,5.9,29
Pittsburg,"42,377","42,869","45,267",59,1.2,5.6,33
Pontotoc,"51,729","53,531","56,112",14,3.5,4.8,45
Pottawatomie,"50,194","47,135","49,485",37,-6.1,5.0,43
Pushmataha,"40,731","39,650","41,900",73,-2.7,5.7,32
Roger Mills,"49,288","49,497","55,166",17,0.4,11.5,3
Rogers,"52,108","52,748","55,985",16,1.2,6.1,24
Seminole,"42,057","42,649","44,566",62,1.4,4.5,53
Sequoyah,"42,826","42,798","44,534",63,-0.1,4.1,60
Stephens,"47,386","50,608","53,673",23,6.8,6.1,25
Texas,"61,627","58,226","62,433",10,-5.5,7.2,14
Tillman,"40,705","41,781","41,237",74,2.6,-1.3,77
Tulsa,"66,935","75,395","78,619",3,12.6,4.3,57
Wagoner,"48,778","48,937","51,664",26,0.3,5.6,35
Washington,"82,944","110,159","111,286",1,32.8,1.0,72
Washita,"40,528","41,800","42,987",69,3.1,2.8,69
Woods,"47,716","50,235","52,976",25,5.3,5.5,40
Woodward,"41,603","41,468","44,533",64,-0.3,7.4,12
,,,,,,,
Oregon,"62,347","64,107","67,838",--,2.8,5.8,--
Baker,"48,803","50,516","52,392",31,3.5,3.7,31
Benton,"55,284","56,253","60,307",13,1.8,7.2,6
