,County,Income,State
906,Union,50034,Iowa
907,Van Buren,48677,Iowa
908,Wapello,47419,Iowa
909,Warren,64502,Iowa
911,Wayne,53428,Washington
912,Webster,53213,Washington
913,Winnebago,53158,Washington
914,Winneshiek,62049,Washington
915,Woodbury,53685,Washington
916,Worth,56008,Washington
917,Wright,68410,Washington
920,Allen,50687,Kansas
921,Anderson,54518,Kansas
922,Atchison,45739,Kansas
923,Barber,59643,Kansas
924,Barton,59485,Kansas
925,Bourbon,49298,Kansas
926,Brown,54718,Kansas
927,Butler,57748,Kansas
928,Chase,66523,Kansas
929,Chautauqua,47835,Kansas
930,Cherokee,55543,Kansas
931,Cheyenne,64275,Kansas
932,Clark,60744,Kansas
933,Clay,53949,Kansas
934,Cloud,53067,Kansas
935,Coffey,58337,Kansas
936,Comanche,60615,Kansas
937,Cowley,47207,Kansas
938,Crawford,47790,Kansas
939,Decatur,65912,Kansas
940,Dickinson,51568,Kansas
941,Doniphan,51625,Kansas
942,Douglas,56846,Kansas
943,Edwards,74594,Kansas
944,Elk,47572,Kansas
945,Ellis,58661,Kansas
946,Ellsworth,52060,Kansas
947,Finney,52953,Kansas
948,Ford,48219,Kansas
949,Franklin,51709,Kansas
950,Geary,53932,Kansas
951,Gove,93617,Kansas
952,Graham,72489,Kansas
953,Grant,55067,Kansas
954,Gray,75419,Kansas
955,Greeley,104174,Kansas
956,Greenwood,53469,Kansas
957,Hamilton,96996,Kansas
958,Harper,64601,Kansas
959,Harvey,54695,Kansas
960,Haskell,86892,Kansas
961,Hodgeman,74269,Kansas
962,Jackson,53147,Kansas
963,Jefferson,58042,Kansas
964,Jewell,68978,Kansas
965,Johnson,102693,Kansas
966,Kearny,69427,Kansas
967,Kingman,59356,Kansas
968,Kiowa,56167,Kansas
969,Labette,51806,Kansas
970,Lane,98681,Kansas
971,Leavenworth,53757,Kansas
972,Lincoln,57773,Kansas
973,Linn,50711,Kansas
